Permit_Number,Permit_Address,Street_Name,Cross_Street_1,Cross_Street_2,Permit_ZipCode,Applicant,Permit_Purpose,Permit_Approval_Date,Permit_End_Date,Permit_Status,X,Y,Latitude,Longitude,cnn,envista_project_id,envista_project_name_full,envista_facility_type,envista_start_date,envista_end_date,envista_description,envista_moratoriums_opportunities,envista_facility_indicator,envista_facility_subindicator,envista_project_type,envista_location_type,envista_intermediate_location_text,Location
17PKT-0013,740 VALENCIA ST,VALENCIA ST,18TH ST,19TH ST,94110,Dandelion Chocolate,Parklet,1/31/2017,2/15/2018,APPROVED,6006197.25247,2105252.74224,37.7609733804633,-122.421669254993,13064000,17PKT-0013,Parklet at Dandelion Chocolate,Roadway,1/31/2017,2/15/2018,740 VALENCIA ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"740 VALENCIA ST, San Francisco, CA 94110","(37.7609733804633, -122.421669254993)"
17PKT-0011,3378 18TH ST,18TH ST,CAPP ST,MISSION ST,94110,Ken Ken Ramen,Parklet,2/1/2017,2/15/2018,APPROVED,6007020.90305,2105598.37048,37.7619688058469,-122.418845114319,877000,17PKT-0011,Parklet at Ken Ken Ramen,Roadway,2/1/2017,2/15/2018,3378 18TH ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"3378 18TH ST, San Francisco, CA 94110","(37.7619688058469, -122.418845114319)"
17PKT-0003,1122 FOLSOM ST,FOLSOM ST,LANGTON ST,HALLAM ST,94103,"BRAINWASH, INC.",Parklet,2/1/2017,2/15/2018,APPROVED,6010088.26699,2110763.57439,37.7763235020516,-122.408600637216,5674000,17PKT-0003,"Parklet at BRAINWASH, INC.",Roadway,2/1/2017,2/15/2018,1122 FOLSOM ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"1122 FOLSOM ST, San Francisco, CA 94103","(37.7763235020516, -122.408600637216)"
17PKT-0015,1268 VALENCIA ST,VALENCIA ST,23RD ST,24TH ST,94110,ARIZMENDI BAKERY,Parklet,2/3/2017,2/15/2018,APPROVED,6006396.56309,2102202.31822,37.7526088597395,-122.420763362027,13072000,17PKT-0015,Parklet at ARIZMENDI BAKERY,Roadway,2/3/2017,2/15/2018,1268 VALENCIA ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"1268 VALENCIA ST, San Francisco, CA 94110","(37.7526088597395, -122.420763362027)"
17PKT-0014,2569 03RD ST,03RD ST,22ND ST,23RD ST,94107,Museum of Craft and Design,Parklet,2/3/2017,2/15/2018,APPROVED,6015917.56082,2103540.94455,37.7568164762378,-122.387931202139,191101,17PKT-0014,Parklet at Museum of Craft and Design,Roadway,2/3/2017,2/15/2018,2569 03RD ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"2569 03RD ST, San Francisco, CA 94107","(37.7568164762378, -122.387931202139)"
17PKT-0010,354 11TH ST,11TH ST,FOLSOM ST,HARRISON ST,94103,Butter,Parklet,2/7/2017,2/15/2018,APPROVED,6008699.29405,2108876.21892,37.7710633795325,-122.413272000154,515000,17PKT-0010,Parklet at Butter,Roadway,2/7/2017,2/15/2018,354 11TH ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"354 11TH ST, San Francisco, CA 94103","(37.7710633795325, -122.413272000154)"
17PKT-0020,1241 VALENCIA ST,VALENCIA ST,23RD ST,24TH ST,94110,Exploratorium,Parklet,2/8/2017,2/15/2018,APPROVED,6006457.61481,2102334.1198,37.7529741974744,-122.42056158933,13072000,17PKT-0020,Parklet at Exploratorium,Roadway,2/8/2017,2/15/2018,1241 VALENCIA ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"1241 VALENCIA ST, San Francisco, CA 94110","(37.7529741974744, -122.42056158933)"
17PKT-0021,360 RITCH ST,RITCH ST,BRANNAN ST,TOWNSEND ST,94107,Little Skillet,Parklet,2/8/2017,2/15/2018,APPROVED,6014329.26023,2111607.80218,37.778878168157,-122.393988863559,11040000,17PKT-0021,Parklet at Little Skillet,Roadway,2/8/2017,2/15/2018,360 RITCH ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"360 RITCH ST, San Francisco, CA 94107","(37.778878168157, -122.393988863559)"
17PKT-0018,3982 24TH ST,24TH ST,SANCHEZ ST,NOE ST,94114,Noe Valley Association,Parklet,2/8/2017,2/15/2018,APPROVED,6003292.46202,2101863.37402,37.7515027542727,-122.431473682572,1361000,17PKT-0018,Parklet at Noe Valley Association,Roadway,2/8/2017,2/15/2018,3982 24TH ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"3982 24TH ST, San Francisco, CA 94114","(37.7515027542727, -122.431473682572)"
17PKT-0025,2821 CALIFORNIA ST,CALIFORNIA ST,DIVISADERO ST,BRODERICK ST,94115,b Patisserie,Parklet,2/9/2017,2/15/2018,APPROVED,6000887.08497,2115161.26519,37.7878788215242,-122.440745524815,3562000,17PKT-0025,Parklet at b Patisserie,Roadway,2/9/2017,2/15/2018,2821 CALIFORNIA ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"2821 CALIFORNIA ST, San Francisco, CA 94115","(37.7878788215242, -122.440745524815)"
17PKT-0024,1530 HAIGHT ST,HAIGHT ST,ASHBURY ST,CLAYTON ST,94117,HAIGHT STREET MARKET,Parklet,2/9/2017,2/15/2018,APPROVED,5998785.9415,2108707.47877,37.77003851165,-122.447550324237,6619000,17PKT-0024,Parklet at HAIGHT STREET MARKET,Roadway,2/9/2017,2/15/2018,1530 HAIGHT ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"1530 HAIGHT ST, San Francisco, CA 94117","(37.77003851165, -122.447550324237)"
17PKT-0023,384 HAYES ST,HAYES ST,FRANKLIN ST,GOUGH ST,94102,Arlequin Cafe,Parklet,2/10/2017,2/16/2018,APPROVED,6006018.07074,2111158.50667,37.7771790954812,-122.422708668599,6815000,17PKT-0023,Parklet at Arlequin Cafe,Roadway,2/10/2017,2/16/2018,384 HAYES ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"384 HAYES ST, San Francisco, CA 94102","(37.7771790954812, -122.422708668599)"
